,sentence,label
0,"Сумма ущерба составила одну тысячу рублей. Уточняется, что на место происшествия выехала следственная группа, которая установила личность злоумышленника. Им оказался местный житель, ранее судимый за подобное правонарушение.,Ранее местный житель совершал подобное правонарушение.",0
1,"Перебрасываясь словечками, они скользят глазами по моему городу. Как они смеют смотреть, будто что-то понимают?,Они что-то понимают",2
2,"— Разве что, — сказала она, — мы хотим где-нибудь выпить кофе. — Мне кажется, — сказал он, — что мы хотим. На следующей Он успел встать на эскалатор, когда понял, что это “Таганская”, а не “Тульская”.,Это “ Таганская ”, а не “ Тульская ”.",1
3,"Зима, наконец, показала свой характер.,У зимы есть свой характер.",2
4,"ГуманностьБогаподобнымсценариемнепредполагается. Но Его благость остается в неприкосновенности. Непросто жить в таком мире, но кто сказал, что это должно быть просто?,Это должно быть просто.",2
5,"Для мамы праздник был как обычный день. Она кормила людей. Весеннее небо обещало счастье, но мать не верила ему.,Небо обещает счастье.",1
6,"Те написали заявление в полицию. Найти преступника не составило труда. Обвиняемый полностью признал свою вину.,Обвиняемый виноват.",0
7,"Молодого человека задержали. Он признал вину. - Подозреваемый пояснил, что ранее работал у потерпевшего и знал, что тот в гараже хранит лом меди.,Потерпевший хранил в гараже лом меди.",0
8,"По обратному эскалатору он уже бежал, навстречу с только что приехавшего поезда шла плотная толпа, он суетливо лавировал, наступал на чьи-то возмущенные ноги, но поезд успел уйти. Было начало седьмого, если бы даже он оказался на “Тульской” прямо сию секунду, он бы все равно гарантированно опоздал. “Можно на все плюнуть, — подумал он, лихорадочно подсчитывая минуты.,Можно на все плюнуть.",1
9,"Обеспокоилась судьбой серебряных ложек, которые лежали у рабочих, как говорится, на виду. Вдруг украдут! Стала убирать. В ответ мама со словами: “Да как ты смеешь так думать, дрянь! Это же РАБОЧИЕ, понимаешь, РАБОЧИЕ!!,Рабочие украдут ложки.",2
10,"— Пойдём пообедаем. Я с утра ничего не ел. Отель, как видишь, весьма посредственный, но мне сказали, что в здешнем ресторане отлично готовят.,В здешнем ресторане отлично готовят.",1
11,"Так? Так? Говори!,Этотак.",1
12,"Из материалов дела следует, что начальник одного из отделов пытался выбить субсидию заинтересованной организации за «откат».,Начальник одного из отделов пытался выбить субсидию заинтересованной организации за «откат».",0
13,"Она уже пристально заглянула мне в глаза. Я удивился ее взгляду. Я вдруг понял: она ждет от меня навернувшихся слез.,Она ждет от меня навернувшихся слез.",1
14,"Вопрос качества работы орловских библиотек на днях обсудили в Правительстве Орловской области.,Орловские библиотеки работают качественно.",2
15,"“Всякое дыхание да славит Господа”, — он не был уверен, что вспомнил дословно. Он открыл способ своего объединения с людьми и животными: он объединен с ними как дышащее существо. Он решил, что и Господь хвалит и одобряет всякое дыхание, он чуть не покраснел от этой Господней похвалы.,И Господь хвалит и одобряет всякое дыхание.",1
16,"Мужчину задержали. В беседе с полицейскими он сознался, что купил наркотик у своего знакомого. Полицейские с поличным задержали подозреваемого.,Мужчина купил наркотик у своего знакомого.",0
17,"- С места происшествия следователи изъяли возможные орудия преступления. Чтобы установить орудие преступление, проводят экспертизы. В ближайшее время суд должен рассмотреть ходатайство следователей об аресте подозреваемого.,Следователи ходатайствуют об аресте подозреваемого.",0
18,"А нам — здесь и сейчас — интересно. Даже более чем интересно. Хотя реалий того времени и той местности мы, говоря по чести, совсем не знаем.,Мы совсем не знаем реалий того времени.",0
19,"Мужчины признались в содеянном, у них обнаружено и изъято похищенное. В полиции возбуждены уголовные дела по статье «Кража». Полицейские проверяют подозреваемых на причастность к другим возможным аналогичным деяниям, сообщили в ведомстве.,Мужчины причастны к другим возможным аналогичным деяниям.",2
20,"Он отметил, что министерству культуры и руководителям учебных заведений будут направлены официальные приглашения на ""круглый стол"", который будет проведен на следующей неделе.,Министерству культуры и руководителям учебных заведений направили официальные приглашения на ""круглый стол"".",0
21,"Сумма ущерба составила одну тысячу рублей. Уточняется, что на место происшествия выехала следственная группа, которая установила личность злоумышленника. Им оказался местный житель, ранее судимый за подобное правонарушение.,На место происшествия выехала следственная группа.",1
22,"И хоть я хорошо знаю (об этом я даже писал в предисловии к своей книге), что английский язык очень-очень трудный, особенно для тех, кто его не знает, — я отважился взяться за перо. Итак, я пишу вам, джентльмены, чтобы поздравить — и вас, и себя — с этим прекрасным изданием и задать вам несколько неизбежных вопросов. Могу ли я надеяться, раз книга напечатана достаточным тиражом, чтобы и на мою долю достались несколько экземпляров?,На мою долю достались несколько экземпляров.",1
23,"Он требовал убрать с кровати прелые листья и еловый валежник. В помещении устоялся запах ладана, от него пошли мысли похоронах. Он надеялся на чудо.,С кровати убрали прелые листья и еловый валежник.",2
24,"Тогда злоумышленник впал в ярость. Схватив нож и приставив лезвие к шее жертвы, он все же заставил мать принести деньги из комнаты бабушки. На основании доказательств, представленных районной прокуратурой, суд признал мужчину виновным в разбое с применением предмета, использованного в качестве оружия, и приговорил к четырем годам колонии общего режима.,Мужчина был виновен в разбое с применением предмета, использованного в качестве оружия.",1
25,"""Задержанные доставлены в отдел полиции, где решается вопрос о привлечении их к административной ответственности"", - сказал собеседник агентства.,Задержанные доставлены в отдел полиции, где решается вопрос о привлечении их к административной ответственности.",0
26,"- Насколько вы удовлетворены результатами сезона? Все ли намеченное удалось сделать? - Экспертный совет уже подвел итоги и нас поблагодарил, но говорить об удовлетворении не приходится.,Они говорят об удовлетворении.",1
27,"Не гневается на тех, кто, не останавливаясь, проходит мимо. Но сам он остро, пронзительно сострадает несчастному. И — заставляет задуматься, осознать, как хрупка и уязвима наша душа, как неповторимо единственна человеческая жизнь.,Хрупка и уязвима наша душа, неповторимо единственна человеческая жизнь.",2
28,"Странные люди стояли не шевелясь, никуда не спеша. Лиц, с наскоку, не разглядеть. Да и показались те люди какими-то одинаковыми.,Те люди были одинаковыми.",2
29,"Нужно было понять героев сказки. Кто такие эти игрушки и зверушки, где коренится их сказочное обаяние, почему они вызывают у людей — в частности, у меня — ту любовь с первого взгляда, о которой я упоминал выше? И мне кажется, я кое-что понял.,Я кое-что понял.",0
30,"На заседании совета Общественной палаты обсудили целесообразность организации в городе платных парковок.,В городе целесообразно организовать платные парковки.",1
31,"Чтобы узнать, о чем жизнь, надо ее прожить. Но прожить жизнь, это значит – умереть. И я тогда начинал думать о том, что когда все люди одинаково верили в Бога, все были разными, когда же все по-разному и в индивидуальном порядке в Боге разуверились, все стали одинаковыми.,Когда все по-разному и в индивидуальном порядке в Боге разуверились, все стали одинаковыми.",1
32,"В том числе мы, конечно, хотим, чтобы прислушались к нашей точке зрения, - сказал Хромов.,К их точке зрения прислушаются.",2
33,"Глава государства также считает, что такое строительство позволит загрузить отечественную металлургию.,такое строительство позволит загрузить отечественную металлургию.",1
34,"Как я матерюсь, так она врет. Ловлена с поличным неоднократно, принципов своих не предавала, продолжала врать и обижаться, что ей не верят. Свято помня отцовский завет “Наказывают не за преступление, а за то, что попался”, никогда ни в чем не признается.,Ей не верят.",2
35,"У мужиков спрашивают, те тоже — не знаем, не ведаем. Чертовщина какая-то!.. Решили у склада сторожа поставить.,У склада поставили сторожа.",0
