,sentence,label
0,"Женщину доставили в больницу, за ее жизнь сейчас борются врачи.,Женщину спасают врачи.",0
1,"Он проводит невидимую грань между настоящим и будущим. В эти минуты все мы подводим главные итоги года, вспоминаем самые важные события. В эти мгновения мы с волнением ждем добрых перемен.,В эти минуты все мы подводим друг друга.",1
2,"Мужчина рассказал: детская коляска, принадлежащая его семье, пропала прямо из подъезда. Как выяснили полицейские, коляску украл сосед мужчины. Он был пьян, и ему нужны были деньги.,Сосед часто крадет детские коляски ради денег.",1
3,"Я просто об этом даже не думаю, потому что если кто-то что-то захочет, никуда не спрячешься.,Спрятаться не удастся.",0
4,"В ходе проверки нашли дома с наледью и сосульками на крышах. Информацию о них передали коммунальщикам. Во избежание несчастных случаев спасатели рекомендуют гражданам быть осторожней, а коммунальщикам – оперативней, при выходе из зданий советуют смотреть на крыши и, по возможности, обходить края зданий.,Все сосульки с крыш были сбиты.",1
5,"Автор поста написал в комментарии, что прорвалась канализация.,Автор поста написал про канализацию.",0
6,"""В свою очередь Владимир Путин в ходе совещания сообщил, что необходимо понимать, с какими поставщиками работают предприятия, которые дают окончательную продукцию. """"Там десятки тысяч поставщиков, но нам нужно понимать, что это за поставщики, чтобы это были те предприятия, которые в состоянии решать соответствующие проблемы, чтобы нам была понятна их рентабельность, чтобы распределение прибыли было понятным и прозрачным"""", - сказал премьер. По его словам, это необходимо, потому что когда неизвестны все схемы поставщиков, министерству обороны практически невозможно разобраться в конечной цене продукции."",Путин хочет понятности и прозрачности в распределении прибыли у поставщиков оборонных предприятий.",0
7,"Ходатайство о продлении заявила адвокат задержанной, отметив, что следствием не были предоставлены документы, характеризующие личность задержанной.,Адвокат задержанной отметила отличную работу следствия.",1
8,"""Возраст людей определить не смог. Их лица были закрыты капюшонами, - рассказал журналисту """"Комсомольской правды""""-Саратов один из автолюбителей, проезжавших на мосту. - Со стороны обоих городов образовалась пробка, так как прибывшие машины спасателей и полиции перегородили полосу движения."",Люди прятали лица под капюшонами.",0
9,"Родительских прав мать не лишена. Пока. А в парадном девочка оказалась, потому что дома она мешала матери выпивать.,Дочь мешала маме пить.",0
10,"Музей, расположенный в Королевских воротах, меняет экспозицию. На смену выставке, рассказывающей об истории ворот и их реставрации, придет «Аптека трех королей». Как рассказали в музее, посетители попадут в традиционный интерьер аптеки.,Музей закроется навсегда.",1
11,"27 декабря в полицию обратилась жительница Димитровграда, которая сообщила, что стала жертвой мошенников. Она рассказала полицейским, что ей позвонил якобы сотрудник банка. Он сообщил, что, поскольку женщина является их постоянным клиентом, ей положена компенсация.,Сотрудник банка пообещал женщине компенсацию.",1
12,"""""""Несмотря на то, что в деле имеется инструкция охранников ХХС, они ничего не сделали, чтобы задержать девушек. А почему? А потому что не было никакого преступления""""."",Охранники ничего не сделали, чтобы задержать девушек.",0
13,"Врачи поставили ей диагноз: «алкогольное опьянение». Данным фактом заинтересовалась областная прокуратура. - В настоящее время проводится проверка, выясняются подробности происшествия, а также при каких обстоятельствах был приобретен алкогольный напиток.,Прокуратура выясняет, кто именно купил алкоголь.",1
14,"Как сообщили в региональном министерстве образования, в состязаниях примут участие спортсмены спортивных и туристских клубов, образовательных организаций области.,В состязании примут участие спортсмены различных организаций.",0
15,"Предприниматели продолжают устанавливать незаконные постройки, однако власти города на примере Сенной площади уже доказали, что лучше не спорить и убрать свое добро самостоятельно.,Предприниматели иногда возводят строения незаконно.",0
16,"""""""Законопроект, безусловно, полезный и крайне своевременный, поскольку блокировать следует не только порнографические сайты, но и ресурсы экстремистской направленности""""."",Блокировать следует и сайты, и ресурсы.",1
17,"""""""Есть отдельное правило для """"Эха Москвы"""", отдельное правило для """"Новой газеты"""", отдельное правило для New Times (журнал The New Times - ИФ). Почему? Потому что маленькая аудитория""""."",Маленькая аудитория - причина появления отдельных правил.",0
18,"При проверке обнаружили два сайта в сети Интернет, на которых размещена информация о продаже по низким ценам дубликатов элитных марок алкоголя дистанционным способом, - говорят в пресс-службе прокуратуры Брянской области.,Проверка обнаружила в Сети два сайта, предлагающих дубликаты элитного алкоголя.",0
19,"Судно прибывает в сочинский порт за 7 часов. В то же время, билет на самолет до Сочи в летнее время стоит 3 тысячи, а время в пути – чуть меньше часа.,Судном до Сочи добираться быстрее.",1
20,"""""""Мы, к сожалению, не слышали каких-то заявлений, связанных с этим судебным процессом, и особо за ним не следим, честно говоря""""."",Судебный процесс идет.",0
21,"Правда, некоторые даже не подозревают, что на них что-то висит.,Некоторые подозревают что на них что-то висит.",0
22,"""Ей позвонил человек, представился сотрудником Пенсионного фонда и предложил подключить ей услугу """"Мобильный банк""""."",Ей позвонил какой-то неизвестный человек.",0
23,"В день президентских выборов американские избиратели отдают свои голоса выборщикам, которые назначаются партийными съездами на уровне штатов, их количество определяется числу представителей каждого штата в конгрессе (сенате и палате представителей). Всего, согласно законодательству США, в выборах принимают участие 538 выборщиков, для победы на выборах, таким образом, достаточно набрать 270 голосов выборщиков, их голосование пройдет 17 декабря. Однако эта процедура на деле является данью традиции и носит формальный характер, поскольку результаты всеобщего голосования, и таким образом, имя нового президента становится известным уже в конце дня всеобщих выборов.,538 выборщиков принимают участие в выборах в США.",0
24,"Представитель внешнеполитического ведомства отметил, что злоумышленника задержали местные власти.,Злоумышленник напуган.",1
